tier_type,tier_subtype,subtype_official_name
Tier 2,Tier 2 General,General
Tier 2,Intra Company Transfers (ICT),Intra-Company Transfer
Tier 2,Sport,Sportsperson
Tier 2,Religious Workers,Minister of Religion
Tier 5,Creative & Sporting,Creative and sporting
Tier 5,Religious Workers,Religious workers
Tier 5,Voluntary Workers,Charity workers
Tier 5,Exchange,Government authorised exchange
Tier 5,International Agreements,International agreement
Tier 5,Seasonal Worker,Seasonal workers
Tier 5,,Youth Mobility Scheme
